,show_id,type,title,director,cast,country,date_added,release_year,duration,description,genre
1565,s1566,TV Show,Déjà Vu,,"Mandy Wei, Yao Yuan Hao, Wang Si Ping, Yang Zheng, Jenna Wang, Nylon Chen",,"January 2, 2019",2013,1,"After losing everything, a prima ballerina accepts a stranger's offer to dial back time and reclaim what was taken from her – but at a great price.",International TV
1566,s1567,TV Show,Dérè: An African Tale,,"Weruche Opia, Gbenro Ajibade, Ireti Doyle, Keppy Ekpenyong, Carol King, Shaffy Bello, Tosan Edremoda Ugbeye, Nina Iphechukwude Anyianuka, Pearl Nkiru Waturuocha, Emmanuel Ikubese, Omowunmi Dada, Paul Adams, Charles Ukpong, Monica Friday, Kevin Ushi",,"August 15, 2020",2016,1,"After experiencing a tragic loss, a woman must resist a new family dynamic that could control the future of her father's company and her life.",International TV
1577,s1578,TV Show,Dad's Army,,"Arthur Lowe, John Le Mesurier, Clive Dunn, John Laurie, Arnold Ridley, Ian Lavender, James Beck, Bill Pertwee",United Kingdom," March 31, 2018",1977,10,This beloved sitcom follows the unlikely heroes of the volunteer British Home Guard as they prepare for German invasion in World War II.,British TV
1584,s1585,TV Show,Damnation,,"Logan Marshall-Green, Killian Scott, Sarah Jones, Chasten Harmon, Christopher Heyerdahl, Melinda Page Hamilton, Joe Adler",United States,"November 7, 2018",2017,1,"During the Great Depression, a stranger with a violent past poses as a preacher and rallies farmers to mount a strike in a rural Iowa community.",Crime TV
1586,s1587,TV Show,Dance & Sing with True,,"Michela Luci, Jamie Watson, Anna Claire Bartlam, Dante Zee, Eric Peterson",,"May 18, 2018",2018,1,"True and her friends are making music – and they want you to dance and sing along. So cut loose, silly goose! These fun beats are totally sweet.",Kids
1587,s1588,TV Show,Dance Academy,,"Xenia Goodwin, Alicia Banit, Dena Kaplan, Isabel Durant, Thom Green, Jordan Rodrigues, Thomas Lacey, Tim Pocock, Tara Morice",Australia,"December 20, 2017",2013,1,Fifteen-year-old Tara Webster's dream of dancing comes true when she gets into a top dance academy. She soon realizes dancing is only half the battle.,International TV
1590,s1591,TV Show,Dancing Angels,,,,"April 27, 2018",2016,1,"A group of aspiring young musicians yearn for stardom while navigating the ups and downs of friendship, romance, and life at school.",International TV
1591,s1592,TV Show,Dancing Queen,,"Justin ""Alyssa Edwards"" Johnson",,"October 5, 2018",2018,1,Snatching trophies. Getting gorgeous. Turning it up. Alyssa Edwards rules the dance studio by day – and the drag world by night.,Reality TV
1594,s1595,TV Show,Dandy,,"Alfonso Herrera, Damián Alcázar, Gabriela Roel, Itahisa Machado, Dagoberto Gama, Hernán Mendoza, Daniel Martínez, Christian Vasquez, Aleyda Gallardo, Danny Perea, Pakey Vázquez, Fátima Molina, Héctor Holten, Carlos Valencia",Mexico,"March 31, 2018",2016,1,A law professor is enlisted by Mexico's attorney general to join a special operations unit infiltrating the capital's most notorious drug cartel.,Crime TV
1596,s1597,TV Show,Danger Mouse,,"Alexander Armstrong, Kevin Eldon, Stephen Fry, Ed Gaughan, Shauna Macdonald, Dave Lamb, Morwenna Banks",United Kingdom,"November 9, 2016",2016,2,The world's greatest super-spy returns to save the world with the help of hapless hamster Penfold and a collection of state-of-the-art gadgetry.,British TV
1597,s1598,TV Show,Danger Mouse: Classic Collection,,"David Jason, Terry Scott, Edward Kelsey, Brian Trueman",United Kingdom,"June 15, 2015",1992,10,"Follow the adventures of superspy Danger Mouse and his bumbling sidekick, Penfold, as they jet around the world foiling their enemies' evil plots.",British TV
1599,s1600,TV Show,Dangerous Roads,,"Adrian Dunbar, Sue Perkins, Charley Boorman, Rhod Gilbert, Greg Davies, Ben Fogle, Hugh Dennis, Ed Byrne, Andy Parsons, Liza Tarbuck, David Baddiel",United Kingdom," February 1, 2019",2012,2,"Using various 4x4 vehicles, celebrities steer their way across some of the most infamous roads and trickiest terrains on earth.",British TV
1600,s1601,TV Show,Daniel Sloss: Live Shows,,Daniel Sloss,United States,"September 11, 2018",2018,1,"Comedian Daniel Sloss is ready to find the funny in some very dark topics, from the deeply personal to the truly irreverent.",Stand-Up
1608,s1609,TV Show,Dare Me,,"Willa Fitzgerald, Herizen Guardiola, Marlo Kelly, Rob Heaps, Zach Roerig, Paul Fitzgerald, Alison Thornton, Tammy Blanchard, Amanda Brugel, Chris Zylka",United States,"December 30, 2020",2019,1,"Relationships topple and loyalties flip when an icy new cheerleading coach takes over the high school squad ruled by Beth and her devoted BFF, Addy.",Crime TV
1610,s1611,TV Show,Dark,,"Louis Hofmann, Oliver Masucci, Jördis Triebel, Maja Schöne, Karoline Eichhorn, Sebastian Rudolph, Anatole Taubman, Mark Waschke, Stephan Kampwirth, Anne Ratte-Polle, Andreas Pietschmann, Lisa Vicari, Michael Mendl, Angela Winkler",Germany,"June 27, 2020",2020,3,A missing child sets four families on a frantic hunt for answers as they unearth a mind-bending mystery that spans three generations.,Crime TV
1613,s1614,TV Show,Dark Desire,,"Maite Perroni, Erik Hayser, Alejandro Speitzer, María Fernanda Yepes, Jorge Poza, Regina Pavón, Paulina Matos, Leticia Huijara, Claudia Pineda, Esteban Soberanes, Claudia Ríos, Samantha Orozco, Fabián Merlo, Eligio Meléndez, Carmen Beato, Carlos Torres, Toño Valdés",Mexico,"July 15, 2020",2020,1,"Married Alma spends a fateful weekend away from home that ignites passion, ends in tragedy and leads her to question the truth about those close to her.",Crime TV
1616,s1617,TV Show,Dark Matter,,"Marc Bendavid, Melissa O'Neil, Anthony Lemke, Alex Mallari Jr., Jodelle Ferland, Roger Cross, Zoie Palmer",Canada,"September 25, 2017",2017,3,"After waking up aboard a derelict spaceship with no memories, the crew of the Raza investigates the mystery of their identities and destination.",TV Sci
1619,s1620,TV Show,Dark Tourist,,,New Zealand,"July 20, 2018",2018,1,"From a nuclear lake to a haunted forest, journalist David Farrier visits unusual – and often macabre – tourism spots around the world.",Docuseries
1622,s1623,TV Show,Darr Sabko Lagta Hai,,Bipasha Basu,India,"March 1, 2018",2015,1,"In this chilling horror anthology series, actress and model Bipasha Basu meets people who have had disconcerting paranormal experiences.",International TV
1624,s1625,TV Show,DASH & LILY,,"Midori Francis, Austin Abrams, Dante Brown, Troy Iwata",United States,"November 10, 2020",2020,1,Opposites attract at Christmas as cynical Dash and sunny Lily trade messages and dares in a red notebook they pass back and forth around New York City.,Romantic TV
1625,s1626,TV Show,Dating Around,,,,"June 12, 2020",2020,2,"In each episode of flirtations and fails, one real-life single navigates five blind dates. The mission: Find one match worthy of a second date.",Reality TV
1626,s1627,TV Show,Dating Around: Brazil,Cassia Dian,,Brazil,"July 10, 2020",2020,1,"In this reality show, six singles meet five different blind dates at trendy urban hot spots in Brazil. Who will they choose for a second outing?",International TV
1627,s1628,TV Show,Daughters of Destiny,Vanessa Roth,,United States,"July 28, 2017",2017,1,Five girls from India's most impoverished families attend a boarding school designed to create opportunities as they strive for a brighter future.,Docuseries
1629,s1630,TV Show,Dave Chappelle,Stan Lathan,Dave Chappelle,United States,"March 21, 2017",2017,1,"Comedy icon Dave Chappelle makes his triumphant return to the screen with a pair of blistering, fresh stand-up specials.",Stand-Up
1630,s1631,TV Show,Dave Chappelle: Equanimity & The Bird Revelation,Stan Lathan,Dave Chappelle,United States,"December 31, 2017",2017,1,"Comedy titan Dave Chappelle caps a wild year with two stand-up specials packed with scorching new material, self-reflection and tough love.",Stand-Up
1638,s1639,TV Show,Dawai Asmara,,"Hanna Aqiela, Tengku Putri Najuwa, Emelie Hanif, Zoey Rahman, Faiez Affandi, Wanny Mustahfah, Sherie Merlis, Mahmud Alibashah, Zalfa Zin, Kamal Ibrahim, Amanda Hariz, Alesha Hariz, Fathimah Az Zahra, Elya Miera Ismail",,"December 11, 2017",2016,1,"Following life-changing traumas, two girls from different backgrounds fight to discover the identities of their biological parents.",International TV
1639,s1640,TV Show,Dawn of the Croods,,"Stephanie Lemelin, A.J. LoCascio, Dan Milano, Grey DeLisle, Cree Summer, Laraine Newman, Chris Parnell, Ana Gasteyer, Dee Bradley Baker, Thomas Lennon, Dominic Catrambone",United States,"July 7, 2017",2017,4,"The world's first family is back for more laughs as they discover sports, sleepovers and other wonders in a world of exotic creatures and adventures.",Kids
1640,s1641,TV Show,Dawson's Creek,,"James Van Der Beek, Katie Holmes, Michelle Williams, Joshua Jackson, Kerr Smith, Meredith Monroe, Busy Philipps, Mary Beth Peil",United States,"November 1, 2020",2002,6,"This nighttime soap about a group of close-knit teens frankly depicts the issues of adolescence that obsess young adults, including sex, sex and sex.",Romantic TV
1641,s1642,TV Show,Day and Night,,"Pan Yueming, Wang Longzheng, Liang Yuen, Lü Xiaolin, Yin Shuyi, Hou Xuelong, Song Naigang",China,"March 23, 2018",2017,1,A detective assists with an investigation into a brutal mass murder case in which his twin brother is the prime suspect.,Crime TV
1643,s1644,TV Show,Daybreak,,"Colin Ford, Alyvia Alyn Lind, Sophie Simnett, Austin Crute, Cody Kearsley, Jeanté Godlock, Gregory Kasyan, Krysta Rodriguez, Matthew Broderick",United States,"October 24, 2019",2019,1,"Living his best life in post-apocalyptic LA, a slacker strives to find the girl of his dreams while outwitting mindless ghouls and cliquish gangs.",TV Action
1644,s1645,TV Show,Days We Stared at the Sun,,"Sean Huang, Chang Chia-yu, Wu Chien-ho, Teresa Daley, Yong Lea, Edison Song, Shan Cheng-ju, Iris Hu, Hsia Teng-hung",Taiwan,"March 31, 2018",2017,2,A model student resorts to violence after witnessing greed and corruption wreak havoc on his life.,International TV
1646,s1647,TV Show,DC Super Hero Girls,,"Grey Griffin, Tara Strong, Nicole Sullivan, Kari Wahlgren, Myrna Velasco, Kimberly Brooks",United States,"August 12, 2019",2019,1,"As Metropolis High students, super teens Wonder Woman, Supergirl, Bumblebee, Batgirl, Zatanna, and Green Lantern fight crime, classwork and crushes.",Kids
1647,s1648,TV Show,DC's Legends of Tomorrow,Rob Seidenglanz,"Victor Garber, Brandon Routh, Caity Lotz, Franz Drameh, Amy Pemberton, Dominic Purcell, Maisie Richardson-Sellers, Nick Zano, Arthur Darvill, Wentworth Miller, Tala Ashe, Adam Tsekhman, Christina Brucato, Simon Merrells, Nils Hognestad, Jes Macallan, Keiynan Lonsdale",United States,"June 10, 2020",2020,5,"A mysterious ""time master"" from the future unites an unlikely group of superheroes and villains to save the world from a powerful evil.",TV Action
1652,s1653,TV Show,Dead Set,,"Jaime Winstone, Andy Nyman, Kevin Eldon, Davina McCall, Warren Brown, Riz Ahmed, Beth Cordingly, Kathleen McDermott, Raj Ghatak",United Kingdom,"September 1, 2016",2008,1,"While the housemates in the Big Brother house remain oblivious, fast-moving hordes of the undead decimate the studio compound.",British TV
1653,s1654,TV Show,Dead to Me,,"Christina Applegate, Linda Cardellini, James Marsden, Max Jenkins, Sam McCarthy, Luke Roessler, Edward Asner",United States,"May 8, 2020",2020,2,A hotheaded widow searching for the hit-and-run driver who mowed down her husband befriends an eccentric optimist who isn't quite what she seems.,TV Comedies
1658,s1659,TV Show,Deadwind,,"Pihla Viitala, Lauri Tilkanen, Jani Volanen, Tommi Korpela, Pirjo Lonka, Riku Nieminen, Pamela Tola, Jonna Järnefelt, Raimo Grönberg",Finland,"July 1, 2020",2020,2,"Just months after a tragic loss, detective Sofia Karppi investigates the murder of a woman with ties to a Helsinki construction company.",Crime TV
1659,s1660,TV Show,Deaf U,,,United States,"October 9, 2020",2020,1,"In this reality series, a tight-knit group of Deaf and hard of hearing students share their stories and explore life at Gallaudet University.",Docuseries
1664,s1665,TV Show,Dear My Friends,,"Shin Gu, Kim Yeong-ok, Kim Hye-ja, Na Mun-hee, Ju Hyun, Youn Yuh-jung, Park Won-suk, Go Du-sim, Ko Hyun-jung",South Korea,"June 1, 2020",2016,1,Life is ever-delightful — and ever-challenging — for a group of friends in their twilight years as they rediscover themselves through love and family.,International TV
1666,s1667,TV Show,Dear White People,,"Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito",United States,"August 2, 2019",2019,3,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",TV Comedies
1669,s1670,TV Show,Death by Magic,,Drummond Money-Coutts,United States,"November 30, 2018",2018,1,"Magician Drummond Money-Coutts travels the globe, sharing his infectious love of his craft and attempting feats that proved fatal to other magicians.",Reality TV
1680,s1681,TV Show,Deep Undercover Collection,,Dave B. Mitchell,United States,"July 20, 2018",2017,3,"Former FBI agent Joe Pistone, the real-life ""Donnie Brasco,"" hosts this series that reveals the true stories of undercover crime-fighting operations.",Crime TV
1681,s1682,TV Show,Deep Water,,"Noah Taylor, Yael Stone, Jeremy Lindsay Taylor, Danielle Cormack, Ben Oxenbould, Dan Spielman, Craig McLachlan, William McInnes, Olivia McNamara, John Brumpton, Simon Burke, Simon Elrahi, Victoria Haralabidou, Renee Lim, Julian Maroun, George Harrison Xanthis",Australia,"July 1, 2017",2016,1,"Back in Bondi Beach, where she grew up, DC Tori Lustigman investigates a gay man's murder and finds a link to her brother's death decades earlier.",Crime TV
1687,s1688,TV Show,Degrassi: Next Class,Stefan Brogren,"Amanda Arcuri, Amir Bageria, Soma Bhatia, Jamie Bloch, Stefan Brogren, Chelsea Clark, Reiya Downs, Ana Golja, Nikki Gould, Ricardo Hoyos, Ehren Kassam, Andre Kim, Lyle Lettau, Spencer MacPherson, Eric Osborne, Dante Scott, Olivia Scriven, Sara Waisglass, Richard Walters",Canada,"July 7, 2017",2017,4,"Degrassi's next generation of high-tech newbies and returning students navigates real-world high school drama. If you're a teen, this is your life.",International TV
1691,s1692,TV Show,Delhi Crime,,"Shefali Shah, Rajesh Tailang, Rasika Dugal, Adil Hussain, Vinod Sharawat, Mridul Sharma, Gopal Dutt Tiwari, Anurag Arora, Gaurav Rana, Yashaswini Dayama",India,"March 22, 2019",2019,1,"As Delhi reels in the aftermath of a gang rape, DCP Vartika Chaturvedi leads a painstaking search for the culprits. Based on the 2012 Nirbhaya case.",Crime TV
1695,s1696,TV Show,DeMarcus Family Rules,,,United States,"August 19, 2020",2020,1,Rascal Flatts bassist Jay DeMarcus and ex-beauty queen Allison DeMarcus write their own rules for juggling family and fun in this reality show.,Reality TV
1699,s1700,TV Show,Demon's Path,,"Wai Ai, Jim Chim Sui Man, Kwok-Pong Chan, Felix Lok, Sham Ka Ki, Elanne Kong, Kate Yeung, Ong Yi-hing, Sunny Lau",,"December 22, 2018",2018,1,"To catch three criminal masterminds, a group of cops teams up with a forensic pathologist who can see a murder victim's final moments before death.",Crime TV
1703,s1704,TV Show,Dennis and Gnasher Unleashed,,"Freddie Fox, Kathryn Drysdale, Rasmus Hardiker, Joanna Ruiz, Ryan Sampson, Kelly Marie Stewart",United Kingdom,"May 15, 2019",2017,1,"Fearless Dennis, his loyal dog Gnasher and best friends Rubi, JJ and Pieface quench their thirst for adventure by wreaking havoc all over Beanotown.",British TV
